Cost,Endogeneity,day,Approximation,RMSE,MAPE,R2
"[10, 1, 20, 5]","[1, 0.5, 0.2, 0.4]",Wed,x1x2,1.2918224970668,0.2876992570580657,0.9922571585074375
"[10, 1, 20, 5]","[1, 0.5, 0.2, 0.4]",Thu,x1,4.245530086750073,0.9476170691435524,0.9261608328304936
"[10, 1, 20, 5]","[1, 0.5, 0.2, 0.4]",Thu,x1^2,1.6594425687226633,0.3417964199063959,0.9887190052534106
"[10, 1, 20, 5]","[1, 0.5, 0.2, 0.4]",Thu,x1^3,1.469728439257217,0.3025483369001333,0.99115094000621
"[10, 1, 20, 5]","[1, 0.5, 0.2, 0.4]",Thu,x1x2,1.264135501052015,0.2711205933441887,0.9934534845135333
"[10, 1, 20, 5]","[1, 0.5, 0.2, 0.4]",Fri,x1,4.645852590852989,1.030957565410034,0.9250744531094603
"[10, 1, 20, 5]","[1, 0.5, 0.2, 0.4]",Fri,x1^2,2.367984091131121,0.509775918951239,0.9805349003891556
"[10, 1, 20, 5]","[1, 0.5, 0.2, 0.4]",Fri,x1^3,2.211338348842997,0.46115438745605436,0.9830250124345432
"[10, 1, 20, 5]","[1, 0.5, 0.2, 0.4]",Fri,x1x2,1.9180506109510842,0.4348931194319959,0.9872291679061853
"[10, 1, 20, 5]","[1, 0.5, 0.2, 0.4]",Sat,x1,4.3750381379934575,0.9336239738222684,0.9633177775450649
"[10, 1, 20, 5]","[1, 0.5, 0.2, 0.4]",Sat,x1^2,1.7519152991574414,0.3740532081396368,0.9941180928526812
"[10, 1, 20, 5]","[1, 0.5, 0.2, 0.4]",Sat,x1^3,1.6928143636238897,0.3567791555236896,0.9945082516952627
"[10, 1, 20, 5]","[1, 0.5, 0.2, 0.4]",Sat,x1x2,1.7047642284262996,0.3642041700687436,0.9944304436585363
"[10, 1, 20, 5]","[1, 0.5, 0.2, 0.4]",Sun,x1,3.3143539035346685,0.6936073558157027,0.9737313968845804
"[10, 1, 20, 5]","[1, 0.5, 0.2, 0.4]",Sun,x1^2,1.265642193652519,0.2681929440131273,0.996169450240203
"[10, 1, 20, 5]","[1, 0.5, 0.2, 0.4]",Sun,x1^3,1.1016964850245778,0.23775662439428055,0.9970975606970952
"[10, 1, 20, 5]","[1, 0.5, 0.2, 0.4]",Sun,x1x2,1.217561141282665,0.2599959514237066,0.9964549629633486
"[10, 1, 20, 5]","[1, 0.5, 0.4, 0.8]",Mon,x1,4.27361585223748,0.9638765337553377,0.9250341448719357
"[10, 1, 20, 5]","[1, 0.5, 0.4, 0.8]",Mon,x1^2,1.5681639969487815,0.33193345614595626,0.9899061814452871
"[10, 1, 20, 5]","[1, 0.5, 0.4, 0.8]",Mon,x1^3,1.3679282711750906,0.28500977524783244,0.9923193285751679
"[10, 1, 20, 5]","[1, 0.5, 0.4, 0.8]",Mon,x1x2,1.0929587205722886,0.2444832037258576,0.9950967949541419
"[10, 1, 20, 5]","[1, 0.5, 0.4, 0.8]",Tue,x1,4.457774756791982,1.0243868429474878,0.8976481876278125
"[10, 1, 20, 5]","[1, 0.5, 0.4, 0.8]",Tue,x1^2,1.691872133411045,0.3577676603753023,0.9852567112753355
"[10, 1, 20, 5]","[1, 0.5, 0.4, 0.8]",Tue,x1^3,1.5244644199130029,0.31316656593149217,0.9880300074157568
"[10, 1, 20, 5]","[1, 0.5, 0.4, 0.8]",Tue,x1x2,1.019911621897067,0.21759020917787095,0.9946422261619198
"[10, 1, 20, 5]","[1, 0.5, 0.4, 0.8]",Wed,x1,4.532173779205261,1.0288813696553125,0.9061715333577427
"[10, 1, 20, 5]","[1, 0.5, 0.4, 0.8]",Wed,x1^2,1.6438368432646444,0.3569194359872064,0.9876564826603608
"[10, 1, 20, 5]","[1, 0.5, 0.4, 0.8]",Wed,x1^3,1.4967751236976443,0.31547581870393765,0.9897662542138363
"[10, 1, 20, 5]","[1, 0.5, 0.4, 0.8]",Wed,x1x2,1.1906360643621947,0.26992209252976235,0.9935244065106711
"[10, 1, 20, 5]","[1, 0.5, 0.4, 0.8]",Thu,x1,4.3672505214051265,1.0023533856738083,0.9230545107308907
"[10, 1, 20, 5]","[1, 0.5, 0.4, 0.8]",Thu,x1^2,1.6281005485338391,0.3332437812444634,0.9893062654344805
"[10, 1, 20, 5]","[1, 0.5, 0.4, 0.8]",Thu,x1^3,1.4357646444875363,0.29266445369257915,0.9916836364897642
"[10, 1, 20, 5]","[1, 0.5, 0.4, 0.8]",Thu,x1x2,1.1759368232697445,0.2556470196370965,0.9944212752399797
"[10, 1, 20, 5]","[1, 0.5, 0.4, 0.8]",Fri,x1,4.606334220743679,1.0263468286650632,0.9276631991498826
"[10, 1, 20, 5]","[1, 0.5, 0.4, 0.8]",Fri,x1^2,2.3408756179845067,0.5078766497935975,0.981318786553973
"[10, 1, 20, 5]","[1, 0.5, 0.4, 0.8]",Fri,x1^3,2.15338722527488,0.4536175058979496,0.9841914269307588
"[10, 1, 20, 5]","[1, 0.5, 0.4, 0.8]",Fri,x1x2,1.8007828372521866,0.4128549162487323,0.9889446857493175
"[10, 1, 20, 5]","[1, 0.5, 0.4, 0.8]",Sat,x1,4.247698256351633,0.9045153113130369,0.9656892175651947
"[10, 1, 20, 5]","[1, 0.5, 0.4, 0.8]",Sat,x1^2,1.5990376042623373,0.34704948576713673,0.9951377122170723
"[10, 1, 20, 5]","[1, 0.5, 0.4, 0.8]",Sat,x1^3,1.5377724471261254,0.3294489838385742,0.9955031597869005
"[10, 1, 20, 5]","[1, 0.5, 0.4, 0.8]",Sat,x1x2,1.5490897402923114,0.3393930875588574,0.9954367269019787
"[10, 1, 20, 5]","[1, 0.5, 0.4, 0.8]",Sun,x1,3.3306221786165358,0.7103212770444263,0.9736856916646395
"[10, 1, 20, 5]","[1, 0.5, 0.4, 0.8]",Sun,x1^2,1.228753736542513,0.2648566170677193,0.9964184507890586
"[10, 1, 20, 5]","[1, 0.5, 0.4, 0.8]",Sun,x1^3,1.0737930263269087,0.23487675444809228,0.9972648422575893
"[10, 1, 20, 5]","[1, 0.5, 0.4, 0.8]",Sun,x1x2,1.1660920265423906,0.25304035189463125,0.9967744270283346
"[10, 1, 20, 20]","[1, 0.5, -0.4, -0.8]",Mon,x1,22.529673552574554,1.8102639499941446,0.8714683355023072
"[10, 1, 20, 20]","[1, 0.5, -0.4, -0.8]",Mon,x1^2,8.734598785292802,0.6403534996541289,0.9806809282435244
"[10, 1, 20, 20]","[1, 0.5, -0.4, -0.8]",Mon,x1^3,8.016437887565367,0.5631780881661704,0.9837271658707649
"[10, 1, 20, 20]","[1, 0.5, -0.4, -0.8]",Mon,x1x2,4.8577620280143226,0.39030580187920644,0.9940245198876495
"[10, 1, 20, 20]","[1, 0.5, -0.4, -0.8]",Tue,x1,22.469631391096446,1.8254411774707997,0.8397427916877339
"[10, 1, 20, 20]","[1, 0.5, -0.4, -0.8]",Tue,x1^2,8.602626738504933,0.6158730363682262,0.9765097393227595
"[10, 1, 20, 20]","[1, 0.5, -0.4, -0.8]",Tue,x1^3,8.031254670875073,0.5558870455593262,0.979526482112371
"[10, 1, 20, 20]","[1, 0.5, -0.4, -0.8]",Tue,x1x2,4.909270440456804,0.3902406991893498,0.9923500324812418
"[10, 1, 20, 20]","[1, 0.5, -0.4, -0.8]",Wed,x1,22.717093030746465,1.8539485949473227,0.8482198118052875
"[10, 1, 20, 20]","[1, 0.5, -0.4, -0.8]",Wed,x1^2,9.400587204224534,0.6901283599051216,0.9740092064922652
"[10, 1, 20, 20]","[1, 0.5, -0.4, -0.8]",Wed,x1^3,8.706807744120695,0.6261454263649536,0.9777039728982262
"[10, 1, 20, 20]","[1, 0.5, -0.4, -0.8]",Wed,x1x2,5.343197528967045,0.4312667196808008,0.9916032343362573
"[10, 1, 20, 20]","[1, 0.5, -0.4, -0.8]",Thu,x1,21.355292878893287,1.7312762997087456,0.8802650307998141
"[10, 1, 20, 20]","[1, 0.5, -0.4, -0.8]",Thu,x1^2,8.506537419693739,0.6029958324127337,0.9810016634661896
"[10, 1, 20, 20]","[1, 0.5, -0.4, -0.8]",Thu,x1^3,7.633081310623892,0.5319371760811171,0.9847028783559857
"[10, 1, 20, 20]","[1, 0.5, -0.4, -0.8]",Thu,x1x2,5.690365247380671,0.4553262964224914,0.9914986043283808
"[10, 1, 20, 20]","[1, 0.5, -0.4, -0.8]",Fri,x1,20.483047467316624,1.5959867454464278,0.9054651029294389
"[10, 1, 20, 20]","[1, 0.5, -0.4, -0.8]",Fri,x1^2,12.377180656606278,0.9170817696693248,0.9654819325803393
"[10, 1, 20, 20]","[1, 0.5, -0.4, -0.8]",Fri,x1^3,10.243088800680699,0.7221957441536813,0.9763590519657341
"[10, 1, 20, 20]","[1, 0.5, -0.4, -0.8]",Fri,x1x2,7.442828220537762,0.5725303721888186,0.987518148708191
"[10, 1, 20, 20]","[1, 0.5, -0.4, -0.8]",Sat,x1,16.974843705845874,1.2816696187601302,0.9586746872476171
"[10, 1, 20, 20]","[1, 0.5, -0.4, -0.8]",Sat,x1^2,7.388257951363518,0.5447035638372972,0.9921713174989012
"[10, 1, 20, 20]","[1, 0.5, -0.4, -0.8]",Sat,x1^3,5.0430058031105345,0.3173909555498825,0.9963525989704982
"[10, 1, 20, 20]","[1, 0.5, -0.4, -0.8]",Sat,x1x2,7.301402561872287,0.5485817263482707,0.9923543014967201
"[10, 1, 20, 20]","[1, 0.5, -0.4, -0.8]",Sun,x1,18.8565678748734,1.4173254677652039,0.941139659138875
"[10, 1, 20, 20]","[1, 0.5, -0.4, -0.8]",Sun,x1^2,5.883946503003422,0.40859002521354226,0.9942689406459515
"[10, 1, 20, 20]","[1, 0.5, -0.4, -0.8]",Sun,x1^3,4.955247449819076,0.33530982794635056,0.9959353030768073
"[10, 1, 20, 20]","[1, 0.5, -0.4, -0.8]",Sun,x1x2,5.4824473899361035,0.4131239163966024,0.9950243889797845
"[10, 1, 20, 20]","[1, 0.5, -0.2, -0.4]",Mon,x1,20.557205119045808,2.014364164963162,0.8921967522913155
"[10, 1, 20, 20]","[1, 0.5, -0.2, -0.4]",Mon,x1^2,8.078891522718266,0.7290604301683752,0.983350267524599
"[10, 1, 20, 20]","[1, 0.5, -0.2, -0.4]",Mon,x1^3,7.419516992673625,0.6373679662656934,0.9859571591546549
"[10, 1, 20, 20]","[1, 0.5, -0.2, -0.4]",Mon,x1x2,4.476495561472323,0.4340789830833119,0.9948881273886963
"[10, 1, 20, 20]","[1, 0.5, -0.2, -0.4]",Tue,x1,20.506887586337342,2.0324413669520656,0.8668977453027612
"[10, 1, 20, 20]","[1, 0.5, -0.2, -0.4]",Tue,x1^2,7.791825394060162,0.6902822846308024,0.9807839405037427
"[10, 1, 20, 20]","[1, 0.5, -0.2, -0.4]",Tue,x1^3,7.287540846867809,0.6240750189307458,0.9831907663155214
"[10, 1, 20, 20]","[1, 0.5, -0.2, -0.4]",Tue,x1x2,4.518416700154794,0.43431826391839856,0.993538126211575
"[10, 1, 20, 20]","[1, 0.5, -0.2, -0.4]",Wed,x1,20.809522968408874,2.06505993370379,0.8735297537886202
"[10, 1, 20, 20]","[1, 0.5, -0.2, -0.4]",Wed,x1^2,8.605693144537781,0.7777948472342753,0.9783710305498766
"[10, 1, 20, 20]","[1, 0.5, -0.2, -0.4]",Wed,x1^3,8.015298262821199,0.7084010966314358,0.9812369476479473
"[10, 1, 20, 20]","[1, 0.5, -0.2, -0.4]",Wed,x1x2,4.972083673885844,0.48581939423932297,0.9927799372512118
"[10, 1, 20, 20]","[1, 0.5, -0.2, -0.4]",Thu,x1,19.59578643852967,1.9252179652714534,0.9001785557641983
"[10, 1, 20, 20]","[1, 0.5, -0.2, -0.4]",Thu,x1^2,7.7336023564283165,0.6731405519792825,0.9844524440121127
"[10, 1, 20, 20]","[1, 0.5, -0.2, -0.4]",Thu,x1^3,6.996216948518068,0.6000945906260259,0.9872759610449746
"[10, 1, 20, 20]","[1, 0.5, -0.2, -0.4]",Thu,x1x2,5.257986141913159,0.5113464544153328,0.9928131707307458
"[10, 1, 20, 20]","[1, 0.5, -0.2, -0.4]",Fri,x1,19.22637679506016,1.8287620214670146,0.9184612122047492
"[10, 1, 20, 20]","[1, 0.5, -0.2, -0.4]",Fri,x1^2,11.417168271109656,1.0324946252202472,0.9712468019364493
"[10, 1, 20, 20]","[1, 0.5, -0.2, -0.4]",Fri,x1^3,9.53175281249118,0.824910691654196,0.979959207354236
"[10, 1, 20, 20]","[1, 0.5, -0.2, -0.4]",Fri,x1x2,7.034542636005713,0.6590738648180252,0.9890845640768393
